name,url
Pocket Properties : Enabling the democratization of real ... - Wefunder,/url?q=https://wefunder.com/pocketpropertiesapp/updates&sa=U&ved=2ahUKEwiQgr-NzOSCAxU4MUQIHQyPAjUQFnoECAEQAg&usg=AOvVaw0kem3qvAoPtGDp_1BWrrUP
Invest in Startups You Love - Wefunder,/url?q=https://wefunder.com/modbook/investors&sa=U&ved=2ahUKEwiQgr-NzOSCAxU4MUQIHQyPAjUQFnoECAQQAg&usg=AOvVaw3bNSRZDqtXb-oS_m3PQpwO
Invest in Startups You Love - Wefunder,/url?q=https://wefunder.com/nxnw/investors&sa=U&ved=2ahUKEwiQgr-NzOSCAxU4MUQIHQyPAjUQFnoECAYQAg&usg=AOvVaw2FWhDFwfI0aUd8CqMEE5SK
Staax : Enabling peer-to-peer payments via fractional shares of stock,/url?q=https://wefunder.com/staax&sa=U&ved=2ahUKEwiQgr-NzOSCAxU4MUQIHQyPAjUQFnoECAUQAg&usg=AOvVaw27wn6IwWqwUPTV8wmpHEE4
Kitchenery: Wireless Power - Smart Kitchen Counters and Cordless ...,/url?q=https://wefunder.com/kitchenery&sa=U&ved=2ahUKEwiQgr-NzOSCAxU4MUQIHQyPAjUQFnoECAgQAg&usg=AOvVaw0IhZlPtecw5CO9lUp8V4lc
"Dawn Bieber | Angel Investor | Wefunder, Home of the Community ...",/url?q=https://wefunder.com/dawnbieber&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAQQAg&usg=AOvVaw3ivnovDj6a0-hhwAjVthwP
Coinvest with Dawn Chen on Wefunder,/url?q=https://wefunder.com/dawnchen&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAkQAg&usg=AOvVaw2eSagySnqWdiLuXTv6pya3
Invest in Dead Dawn: Horror Comedy Feature Film ... - Wefunder,/url?q=https://wefunder.com/deaddawn&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAgQAg&usg=AOvVaw1EvPKdPpSfu0SsVLQI5Hqb
Dawn Halfacre - Wefunder,/url?q=https://wefunder.com/dawnhalfacre&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAMQAg&usg=AOvVaw1_CVsKp1vDHkwzDHP-6_DO
Dead Dawn - Wefunder,/url?q=https://wefunder.com/discuss/tagged/with/deaddawn&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAIQAg&usg=AOvVaw01xMeDz51vRyoa8uweogmN
"Invest in Startups You Love | Wefunder, Home of the Community ...",/url?q=https://wefunder.com/dawnlett&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAAQAg&usg=AOvVaw2I5OmccRN0eAJZzq4BA4vG
Invest in Startups You Love - Wefunder,/url?q=https://wefunder.com/dawnjohnson2&sa=U&ved=2ahUKEwiUxdmNzOSCAxWvD0QIHa0GD3gQFnoECAUQAg&usg=AOvVaw0G8XLg8GCkBabBBGyuBbev
